Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
NO_DOWN,GO:0031145,anaphase-promoting complex-dependent catabolic process,32/1214,80/17381,5.79E-17,1.21E-14,9.99E-15,10197/10213/23198/51434/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/7321/9491/9861/991,32
NO_DOWN,GO:0045732,positive regulation of protein catabolic process,61/1214,268/17381,8.97E-17,1.80E-14,1.49E-14,10134/10197/10213/10273/112398/11267/115992/207/22933/23163/23198/25807/26263/2629/2931/29979/3303/3416/3949/4193/4478/4905/4946/51079/51434/55905/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/5886/6811/7128/7321/7879/8078/84300/9491/9810/9861/991,61
NO_DOWN,GO:0009896,positive regulation of catabolic process,83/1214,447/17381,1.27E-16,2.45E-14,2.03E-14,10134/10140/10197/10213/10236/10273/10346/112398/11267/11315/115992/154/207/22933/23163/23198/23274/23367/25807/26263/2629/2931/29979/3146/3303/3416/3949/4193/4478/4905/4946/51079/51434/5208/5305/55905/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/5770/581/5886/5899/6737/6811/7128/7321/7405/7879/7957/80149/8078/83667/84300/8570/8678/9491/9567/9810/9861/991/9927,83
NO_DOWN,GO:0031397,negative regulation of protein ubiquitination,42/1214,139/17381,1.37E-16,2.47E-14,2.04E-14,10197/1020/10213/11315/23560/2475/3301/3303/51035/51434/5371/54984/55611/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/7128/7321/9491/9861/991,42
NO_DOWN,GO:0031146,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,30/1214,72/17381,1.41E-16,2.47E-14,2.04E-14,10197/10213/23198/23291/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/9491/9861,30
NO_DOWN,GO:1904667,negative regulation of ubiquitin protein ligase activity,31/1214,77/17381,1.43E-16,2.47E-14,2.04E-14,10197/10213/51434/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/7321/9491/9861/991,31
NO_DOWN,GO:0031396,regulation of protein ubiquitination,60/1214,265/17381,2.10E-16,3.50E-14,2.90E-14,10197/1020/10213/10273/11315/154/2280/23198/23560/2475/26263/29979/330/3301/3303/3309/3320/3326/51035/51434/5300/5371/54984/55527/55611/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/64689/7128/7321/7466/7965/8877/9111/9491/9810/9861/991,60
NO_DOWN,GO:0051444,negative regulation of ubiquitin-protein transferase activity,32/1214,84/17381,3.14E-16,5.08E-14,4.20E-14,10197/10213/11315/51434/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/7321/9491/9861/991,32
NO_DOWN,GO:0016579,protein deubiquitination,63/1214,291/17381,3.71E-16,5.64E-14,4.66E-14,10197/10213/10445/10713/11047/11315/154/1540/1643/23198/3054/330/3607/387/4193/4738/4792/51035/55252/55611/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/57602/5886/60/63891/64135/6737/7128/7157/7321/7353/79155/80149/8078/84132/8607/8678/9491/9861/991,63
NO_DOWN,GO:1903320,regulation of protein modification by small protein conjugation or removal,63/1214,291/17381,3.71E-16,5.64E-14,4.66E-14,10197/1020/10213/10273/11315/154/2280/23198/23560/2475/26263/29979/330/3301/3303/3309/3320/3326/51035/51434/5300/5371/54984/55527/55611/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/64689/6737/7128/7321/7329/7466/7965/80149/8877/9111/9491/9810/9861/991,63
NO_DOWN,GO:1903362,regulation of cellular protein catabolic process,62/1214,285/17381,5.02E-16,7.27E-14,6.01E-14,10134/10197/10213/10273/10755/11315/115992/207/22933/23198/23274/26263/2629/29979/302/3303/3326/3949/4193/4478/51035/51434/5371/55353/55905/5685/5686/5687/5688/56893/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/57805/5886/6341/7128/7321/79016/8078/84300/9491/9810/9861/991,62
NO_DOWN,GO:1903321,negative regulation of protein modification by small protein conjugation or removal,43/1214,150/17381,5.07E-16,7.27E-14,6.01E-14,10197/1020/10213/11315/23560/2475/3301/3303/51035/51434/5371/54984/55611/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/6737/7128/7321/9491/9861/991,43
NO_DOWN,GO:0006520,cellular amino acid metabolic process,72/1214,365/17381,5.37E-16,7.49E-14,6.19E-14,10056/10197/10213/10400/10491/112398/11315/1201/1503/2193/22928/22929/23198/23395/2617/2618/2746/2805/2937/29920/29968/3028/3035/3376/3735/4141/4482/4522/4677/4946/4953/5092/51582/5184/5464/55256/5685/5686/5687/5688/5690/5691/5693/5695/56954/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/5860/6301/64087/7453/78991/7965/8565/8659/9491/9521/9861,72
NO_DOWN,GO:2000060,positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process,33/1214,91/17381,6.01E-16,8.15E-14,6.74E-14,10197/10213/23198/26263/51434/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/7321/9491/9861/991,33
NO_DOWN,GO:1904666,regulation of ubiquitin protein ligase activity,33/1214,92/17381,8.76E-16,1.16E-13,9.56E-14,10197/10213/23198/51434/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/64689/7321/9491/9861/991,33
NO_DOWN,GO:0051443,positive regulation of ubiquitin-protein transferase activity,35/1214,104/17381,1.15E-15,1.48E-13,1.23E-13,10197/10213/10273/23198/51434/5300/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/64689/7321/9491/9861/991,35
NO_DOWN,GO:0060071,"Wnt signaling pathway, planar cell polarity pathway",36/1214,110/17381,1.23E-15,1.55E-13,1.28E-13,10197/10213/1173/1213/23198/387/4919/5216/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/5879/9491/9861/998,36
NO_DOWN,GO:1903364,positive regulation of cellular protein catabolic process,50/1214,202/17381,1.56E-15,1.91E-13,1.58E-13,10134/10197/10213/10273/115992/207/22933/23198/26263/2629/29979/3303/3949/4193/4478/51434/55905/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/5886/7128/7321/8078/84300/9491/9810/9861/991,50
NO_DOWN,GO:1902750,negative regulation of cell cycle G2/M phase transition,33/1214,94/17381,1.82E-15,2.18E-13,1.80E-13,10197/10213/22809/23198/27183/54984/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/9491/9555/9861,33
NO_DOWN,GO:0090175,regulation of establishment of planar polarity,36/1214,112/17381,2.35E-15,2.74E-13,2.26E-13,10197/10213/1173/1213/23198/387/4919/5216/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/5879/9491/9861/998,36
NO_DOWN,GO:0001738,morphogenesis of a polarized epithelium,40/1214,138/17381,3.53E-15,4.02E-13,3.32E-13,10197/10213/1173/1213/23198/23616/387/4478/4919/5216/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/5879/9368/9491/9861/9948/998,40
NO_DOWN,GO:0033209,tumor necrosis factor-mediated signaling pathway,45/1214,172/17381,4.54E-15,5.06E-13,4.18E-13,10197/10213/1147/149951/1540/23198/330/3303/3735/4055/4792/51330/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/60401/6772/7114/7128/8795/8877/9414/9491/9861,45
NO_DOWN,GO:0001736,establishment of planar polarity,37/1214,122/17381,7.79E-15,8.31E-13,6.87E-13,10197/10213/1173/1213/23198/387/4919/5216/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/5879/9491/9861/9948/998,37
NO_DOWN,GO:0007164,establishment of tissue polarity,37/1214,122/17381,7.79E-15,8.31E-13,6.87E-13,10197/10213/1173/1213/23198/387/4919/5216/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/5879/9491/9861/9948/998,37
NO_DOWN,GO:0031398,positive regulation of protein ubiquitination,46/1214,183/17381,1.15E-14,1.20E-12,9.91E-13,10197/10213/10273/154/2280/23198/26263/29979/330/3309/51434/5300/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/64689/7321/7466/7965/8877/9111/9491/9810/9861/991,46
NO_DOWN,GO:1903050,regulation of proteolysis involved in cellular protein catabolic process,56/1214,257/17381,1.24E-14,1.27E-12,1.05E-12,10134/10197/10213/10273/10755/11315/115992/207/22933/23198/23274/26263/2629/29979/3303/3326/4193/51035/51434/5371/55905/5685/5686/5687/5688/56893/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/57805/5886/6341/7321/79016/8078/9491/9810/9861/991,56
NO_DOWN,GO:0051438,regulation of ubiquitin-protein transferase activity,37/1214,124/17381,1.39E-14,1.39E-12,1.15E-12,10197/10213/10273/11315/23198/51434/5300/55527/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/64689/7321/9491/9861/991,37
NO_DOWN,GO:2000058,regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process,34/1214,106/17381,1.50E-14,1.48E-12,1.22E-12,10197/10213/23198/26263/51434/5371/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/7321/9491/9861/991,34
NO_DOWN,GO:1903052,positive regulation of proteolysis involved in cellular protein catabolic process,46/1214,185/17381,1.78E-14,1.71E-12,1.42E-12,10134/10197/10213/10273/115992/207/22933/23198/26263/2629/29979/3303/4193/51434/55905/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/5886/7321/8078/9491/9810/9861/991,46
NO_DOWN,GO:1903322,positive regulation of protein modification by small protein conjugation or removal,48/1214,200/17381,2.07E-14,1.96E-12,1.62E-12,10197/10213/10273/154/2280/23198/26263/29979/330/3309/51434/5300/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/64689/7321/7329/7466/7965/80149/8877/9111/9491/9810/9861/991,48
NO_DOWN,GO:0031331,positive regulation of cellular catabolic process,72/1214,396/17381,4.32E-14,4.01E-12,3.31E-12,10134/10140/10197/10213/10236/10273/10346/11315/115992/154/207/22933/23198/23274/23367/26263/2629/29979/3146/3303/3949/4193/4478/51434/5208/5305/55905/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/5770/581/5886/5899/6737/7128/7321/7405/7957/80149/8078/83667/84300/8570/8678/9491/9567/9810/9861/991/9927,72
NO_DOWN,GO:0010972,negative regulation of G2/M transition of mitotic cell cycle,31/1214,92/17381,4.76E-14,4.34E-12,3.59E-12,10197/10213/23198/27183/54984/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/9491/9861,31
NO_DOWN,GO:0002223,stimulatory C-type lectin receptor signaling pathway,36/1214,123/17381,6.09E-14,5.45E-12,4.51E-12,10197/10213/1147/23198/23291/3265/4790/4792/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/5971/7321/9491/9861,36
NO_DOWN,GO:0045862,positive regulation of proteolysis,71/1214,393/17381,9.05E-14,7.96E-12,6.58E-12,10134/10197/10213/10273/11047/115992/1611/207/22933/23198/23291/26263/2629/27166/29979/3146/3303/3329/3336/3735/3965/4193/4824/51024/51079/5134/51434/5245/5371/54205/54982/54998/55905/56616/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/578/581/5886/7321/80149/8078/836/8795/9491/9647/9810/9861/991,71
NO_DOWN,GO:0002218,activation of innate immune response,60/1214,301/17381,9.51E-14,8.23E-12,6.80E-12,10197/10213/10432/1147/1520/1540/23198/23291/2547/29979/3146/3265/330/3303/3329/3659/4615/4790/4792/55666/5591/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/5971/64135/6421/708/7128/7321/7353/7520/7867/79132/79155/81622/9491/9641/9861,60
NO_DOWN,GO:0010565,regulation of cellular ketone metabolic process,42/1214,166/17381,1.29E-13,1.10E-11,9.09E-12,10197/10213/11315/1609/1737/207/22937/23198/2475/3692/4946/4953/51094/51582/54704/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/60481/9491/9861,42
NO_DOWN,GO:0002220,innate immune response activating cell surface receptor signaling pathway,36/1214,126/17381,1.37E-13,1.15E-11,9.50E-12,10197/10213/1147/23198/23291/3265/4790/4792/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/5971/7321/9491/9861,36
NO_DOWN,GO:0034612,response to tumor necrosis factor,59/1214,297/17381,1.79E-13,1.47E-11,1.22E-11,10197/10213/1147/149951/1540/1660/207/23198/2629/2937/330/3303/3735/4055/4792/4824/51330/55022/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/58191/60401/6354/6355/6772/7114/7128/80149/81792/836/8531/8692/8795/8877/9414/9491/9861,59
NO_DOWN,GO:0010498,proteasomal protein catabolic process,75/1214,437/17381,2.75E-13,2.22E-11,1.84E-11,10134/10197/10213/10273/10755/10952/11315/115992/207/22933/23198/23274/23291/23753/26263/2629/27339/2931/29979/3303/3309/3326/4193/51035/51434/51512/5371/54788/550/55666/55905/55968/5685/5686/5687/5688/56893/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/57805/5886/6341/64777/7157/7321/7329/7353/7466/79016/80196/8078/81502/92305/9491/9810/9861/991,75
NO_DOWN,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,69/1214,387/17381,3.93E-13,3.13E-11,2.59E-11,10134/10197/10213/10273/10755/10952/11315/115992/207/22933/23198/23274/23291/26263/2629/2931/29979/3303/3309/3326/4193/51035/51434/51512/5371/550/55666/55905/55968/5685/5686/5687/5688/56893/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/57805/5886/64777/7157/7321/7329/7353/7466/79016/80196/8078/92305/9491/9861/991,69
NO_DOWN,GO:0042180,cellular ketone metabolic process,50/1214,231/17381,4.33E-13,3.40E-11,2.81E-11,10197/10213/11315/1609/1737/207/2232/22937/231/23198/2475/2739/29914/3156/3692/4704/4836/4946/4953/5019/51094/51582/54704/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/60481/9491/9861,50
NO_DOWN,GO:0071356,cellular response to tumor necrosis factor,56/1214,279/17381,4.76E-13,3.68E-11,3.04E-11,10197/10213/1147/149951/1540/1660/207/23198/2629/330/3303/3735/4055/4792/4824/51330/55022/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/60401/6354/6355/6772/7114/7128/80149/81792/8531/8692/8795/8877/9414/9491/9861,56
NO_DOWN,GO:0071456,cellular response to hypoxia,45/1214,194/17381,4.96E-13,3.77E-11,3.12E-11,10197/10213/10525/112398/1869/2034/207/22933/23198/2475/25994/29979/4000/4193/4824/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/6548/6839/7157/7321/9491/9861,45
NO_DOWN,GO:0044106,cellular amine metabolic process,35/1214,125/17381,5.78E-13,4.33E-11,3.58E-11,10197/10213/11315/23198/4946/4953/51573/51582/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/6723/9491/9861,35
NO_DOWN,GO:0045089,positive regulation of innate immune response,64/1214,348/17381,6.76E-13,4.99E-11,4.12E-11,10197/10213/10432/1147/1520/1540/164/1660/23198/23291/2547/29979/3146/3265/330/3303/3329/3659/3916/4615/4790/4792/5359/55666/5591/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/5971/64135/6421/708/7128/7321/7353/7520/7867/79132/79155/81622/9491/9641/9861,64
NO_DOWN,GO:0045088,regulation of innate immune response,72/1214,422/17381,1.12E-12,8.15E-11,6.74E-11,10197/10213/103/10432/1147/1520/1540/164/1660/23198/23291/23513/2547/25939/29979/3146/3265/330/3303/3326/3329/3659/3916/3965/4615/4790/4792/5359/55666/5591/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/5770/5971/64135/6421/6772/708/7128/7321/7353/7520/7867/79132/79155/81622/9111/9491/9641/9861,72
NO_DOWN,GO:0036294,cellular response to decreased oxygen levels,45/1214,201/17381,1.87E-12,1.34E-10,1.11E-10,10197/10213/10525/112398/1869/2034/207/22933/23198/2475/25994/29979/4000/4193/4824/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/6548/6839/7157/7321/9491/9861,45
NO_DOWN,GO:0022613,ribonucleoprotein complex biogenesis,76/1214,464/17381,2.17E-12,1.53E-10,1.27E-10,103/10360/10419/10421/10528/10658/10713/10946/11171/11273/113000/114049/117246/1660/22803/22907/23076/23160/23212/23246/23560/25804/25819/25980/26155/26168/27043/27339/29102/2971/3320/3326/3692/4686/4839/5036/51013/51081/51121/51491/54433/54663/54913/55003/55153/55239/55505/55651/55695/55759/57647/64963/65083/6631/6636/6838/6839/6895/705/708/7536/79084/84135/84769/84864/84916/84946/8602/8607/88745/90121/9092/9136/9188/9221/9416,76
NO_DOWN,GO:1905330,regulation of morphogenesis of an epithelium,42/1214,180/17381,2.41E-12,1.68E-10,1.39E-10,10197/10213/1173/1213/2119/23198/2475/3627/387/3976/4919/5216/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/5879/6772/81792/9491/9861/998,42
NO_DOWN,GO:0051169,nuclear transport,77/1214,476/17381,2.95E-12,2.02E-10,1.67E-10,10140/10155/10189/1020/10204/10212/10250/1026/10921/10952/11315/142/1540/1605/1660/1977/1984/207/23039/23212/23214/23291/23381/23511/23633/23649/2475/26097/26263/29107/3326/3692/375346/3836/3838/3839/387/3965/4000/4193/4600/4686/4792/5052/51512/51692/5296/5371/53981/55153/55437/5571/5716/57510/5902/5905/6418/6427/6428/65083/6636/7114/7157/7205/7295/7307/7531/80149/84248/84946/8498/8692/8815/8877/9368/9679/9688,77
NO_DOWN,GO:1901988,negative regulation of cell cycle phase transition,49/1214,235/17381,3.22E-12,2.16E-10,1.79E-10,10197/10213/1026/10498/138151/1647/1869/1874/22809/23198/27183/4193/5111/51512/5371/54984/5591/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/581/6597/7027/7157/9125/9491/9555/9861,49
NO_DOWN,GO:1902749,regulation of cell cycle G2/M phase transition,45/1214,204/17381,3.23E-12,2.16E-10,1.79E-10,10121/10197/10213/10383/11258/22809/22919/23198/27183/3320/51512/54984/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/7157/7283/7531/7532/8636/9491/9555/9861/994,45
NO_DOWN,GO:0002758,innate immune response-activating signal transduction,55/1214,284/17381,3.48E-12,2.29E-10,1.90E-10,10197/10213/1147/1520/1540/23198/23291/29979/3146/3265/330/3303/3329/3659/4615/4790/4792/55666/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/5971/64135/708/7128/7321/7353/7867/79132/79155/81622/9491/9641/9861,55
NO_DOWN,GO:0006913,nucleocytoplasmic transport,76/1214,470/17381,4.18E-12,2.72E-10,2.25E-10,10140/10155/10189/1020/10204/10212/10250/1026/10921/10952/11315/142/1540/1605/1660/1977/1984/207/23039/23212/23214/23291/23381/23511/23633/23649/2475/26097/26263/29107/3326/3692/375346/3836/3838/3839/387/3965/4000/4193/4600/4686/4792/5052/51512/51692/5296/5371/53981/55153/55437/5571/5716/57510/5902/5905/6418/6427/6428/65083/6636/7114/7157/7205/7295/7307/7531/80149/84248/84946/8498/8692/8877/9368/9679/9688,76
NO_DOWN,GO:0009308,amine metabolic process,35/1214,134/17381,5.27E-12,3.39E-10,2.80E-10,10197/10213/11315/23198/4946/4953/51573/51582/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/6723/9491/9861,35
NO_DOWN,GO:0050792,regulation of viral process,43/1214,192/17381,5.74E-12,3.65E-10,3.01E-10,10155/103/10410/1072/11267/128866/1655/1660/23076/23087/23367/24138/27183/3312/3609/3965/4599/4938/4940/5216/5359/5371/5430/5434/5435/5440/5441/5886/5987/6597/6737/6772/6895/7726/7879/79720/80149/8519/8638/8812/8815/9150/9830,43
NO_DOWN,GO:0022900,electron transport chain,40/1214,170/17381,6.05E-12,3.79E-10,3.14E-10,10327/11315/128/1349/1351/2108/2230/231/27089/29796/4696/4697/4700/4704/4707/4709/4715/4716/4719/4723/4725/4726/4728/4729/51022/51079/51218/54205/5860/6389/6390/7264/7296/7384/7386/80142/8604/8659/91942/9377,40
NO_DOWN,GO:0045930,negative regulation of mitotic cell cycle,57/1214,305/17381,6.39E-12,3.96E-10,3.27E-10,10197/10213/1026/10498/138151/1647/1869/1874/23087/23198/23513/27183/3265/4193/4824/5111/51512/5371/54984/54998/5546/5591/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/581/598/6597/7027/7157/79035/8260/9125/9368/9491/9861,57
NO_DOWN,GO:1901991,negative regulation of mitotic cell cycle phase transition,47/1214,224/17381,7.07E-12,4.32E-10,3.58E-10,10197/10213/1026/10498/138151/1647/1869/1874/23198/27183/4193/5111/51512/5371/54984/5591/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/581/6597/7027/7157/9125/9491/9861,47
NO_DOWN,GO:0006401,RNA catabolic process,65/1214,376/17381,7.95E-12,4.80E-10,3.97E-10,10140/10197/10213/10236/10921/1655/1660/1869/1977/1981/1994/207/2107/22803/23198/23367/23381/2475/25804/25819/27044/29102/328/3303/3312/4615/4686/4904/4939/5073/51013/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/57819/6418/7529/80149/8531/8570/9125/9491/9567/9861,65
NO_DOWN,GO:0071453,cellular response to oxygen levels,46/1214,217/17381,8.13E-12,4.86E-10,4.01E-10,10197/10213/10525/112398/147007/1869/2034/207/22933/23198/2475/25994/29979/4000/4193/4824/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/6548/6839/7157/7321/9491/9861,46
NO_DOWN,GO:1902036,regulation of hematopoietic stem cell differentiation,30/1214,103/17381,8.64E-12,5.10E-10,4.21E-10,10197/10213/23198/4005/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/9491/9861,30
NO_DOWN,GO:0006402,mRNA catabolic process,61/1214,342/17381,9.15E-12,5.33E-10,4.41E-10,10140/10197/10213/10236/10921/1655/1660/1869/1977/1981/1994/207/2107/23198/23367/23381/2475/25804/25819/328/3303/3312/4615/4686/4904/5073/51013/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/57819/6418/7529/80149/8531/8570/9125/9491/9567/9861,61
NO_DOWN,GO:0035567,non-canonical Wnt signaling pathway,37/1214,151/17381,1.04E-11,5.99E-10,4.95E-10,10197/10213/1173/1213/23198/387/4343/4919/5216/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/5879/9491/9861/998,37
NO_DOWN,GO:0043903,"regulation of symbiosis, encompassing mutualism through parasitism",46/1214,219/17381,1.14E-11,6.49E-10,5.36E-10,10155/103/10410/1072/11267/128866/1655/1660/23076/23087/23367/24138/27183/302/3312/3609/3965/4599/4938/4940/5007/5216/5359/5371/5430/5434/5435/5440/5441/55770/5886/5987/6597/6737/6772/6895/7726/7879/79720/80149/8519/8638/8812/8815/9150/9830,46
NO_DOWN,GO:0090263,positive regulation of canonical Wnt signaling pathway,33/1214,126/17381,1.97E-11,1.11E-09,9.16E-10,10197/10213/23198/4790/5300/5685/5686/5687/5688/5690/5691/5693/5695/5696/5698/5700/5701/5704/5705/5707/5708/5709/5713/5714/5716/5717/5719/5720/5721/57805/9491/9679/9861,33
